职位名称,公司名称,工作城市,薪资范围,学历要求,公司类型,公司规模,职位类别,工作经验,福利待遇
销售---安全产品线---长沙,中建材信息技术股份有限公司,长沙,1.2万-1.6万,本科,股份制企业,500-999人,销售业务,3-5年,"五险一金,补充医疗保险,定期体检,员工旅游,节日福利"
轨道交通销售工程师,SGS,长沙,6千-8千,本科,合资,10000人以上,销售业务,3-5年,
Sales Engineer/销售工程师-卓越服务（湖南）,"上海凯士比泵有限公司 KSB SHANGHAI PUMP CO., LTD.",长沙,1千以下,本科,合资,500-999人,销售业务,3-5年,
销售经理,方正国际软件（北京）有限公司,长沙,面议,本科,合资,1000-9999人,销售管理,3-5年,"五险一金,绩效奖金,餐补,通讯补助,带薪年假,补充医疗保险,定期体检,员工旅游"
业务管理高级主管,中联重科,长沙,8千-1.4万,本科,合资,10000人以上,销售业务,3-5年,"五险一金,绩效奖金,带薪年假,餐补,通讯补助,交通补助,包住,节日福利"
大客户销售经理（全国派驻）,中联重科,长沙,1.5万-2万,本科,合资,10000人以上,销售业务,3-5年,"五险一金,绩效奖金,年终分红,包吃,包住,带薪年假,定期体检,节日福利"
营销推广岗,京东集团,长沙,1万-1.5万,本科,合资,1000-9999人,销售业务,3-5年,"五险一金,餐补,节日福利,绩效奖金,带薪年假"
招商顾问,长沙市天健房地产开发有限公司,长沙,5千-1万,本科,合资,100-299人,销售业务,3-5年,"五险一金,包吃,定期体检,节日福利,高温补贴,员工旅游,带薪年假,周末双休"
大客户销售经理,北京德青源农业科技股份有限公司,长沙,1万-1.5万,本科,股份制企业,1000-9999人,销售业务,3-5年,"节日福利,五险一金,带薪年假,定期体检,绩效奖金"
销售总监,中国平安人寿保险股份有限公司湖南省直属区域服务第三支公司,长沙,1.5万-2万,本科,股份制企业,1000-9999人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,弹性工作,补充医疗保险,员工旅游,节日福利,周末双休"
营销代表,湖南雅邦生态旅游开发有限公司,长沙,1万-1.5万,本科,股份制企业,20-99人,销售业务,3-5年,"周末双休,五险一金,餐补,弹性工作,员工旅游,节日福利,定期体检,带薪年假"
地区经理,伊利,长沙,1.5万-2万,本科,股份制企业,10000人以上,销售管理,3-5年,"五险一金,通讯补助,带薪年假,节日福利,高温补贴,弹性工作,绩效奖金,交通补助"
光伏渠道拓展经理,金风科技股份有限公司,长沙,1.2万-1.8万,本科,股份制企业,1000-9999人,销售管理,3-5年,"餐补,节日福利,周末双休,五险一金,绩效奖金,定期体检,补充医疗保险,带薪年假"
售前销售经理,北京一维大成科技有限公司,长沙,1万-1.8万,本科,股份制企业,100-299人,销售管理,3-5年,"五险一金,交通补助,带薪年假,周末双休,大牛带队,公司重点项目"
区域销售经理,北京易华录,长沙,8千-1.5万,本科,股份制企业,1000-9999人,销售业务,3-5年,"餐补,交通补助,五险一金,周末双休"
大客户经理,猎聘,长沙,1万-1.5万,本科,股份制企业,1000-9999人,销售业务,3-5年,"五险一金,弹性工作,补充医疗保险,员工旅游,节日福利,周末双休"
