职位名称,公司名称,工作城市,薪资范围,学历要求,公司类型,公司规模,职位类别,工作经验,福利待遇
机械工程师,先惠智能装备(长沙)有限公司,长沙,8千-1.2万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"五险一金,年底双薪,包吃,包住,项目奖金,住房补贴,14薪,节日福利"
涂料研发工程师,湖南鼎一致远科技发展有限公司,长沙,1万-1.5万,本科,民营,100-299人,化工,3-5年,"五险一金,带薪年假,节日福利,绩效奖金,通讯补助,包住,餐补"
PE工程师--喇叭,湖南盈准科技有限公司,长沙,1万-1.5万,本科,民营,20-99人,生产管理/运营,3-5年,
机械工程师,广东邦普循环科技有限公司,长沙,8千-1万,本科,民营,1000-9999人,机械设计/制造/维修,3-5年,
售后质量信息工程师,三一集团,长沙,8千-1.5万,本科,民营,10000人以上,质量管理/安全防护,3-5年,"周末双休,五险一金,年底双薪,餐补,免费班车,包吃,包住"
工艺主管,长沙麦融高科股份有限公司,长沙,6千-8千,本科,股份制企业,20-99人,机械设计/制造/维修,3-5年,"五险一金,包住,绩效奖金,加班补助,全勤奖,节日福利,带薪年假,餐补"
产品研发工程师,俏皮羊生物科技有限公司,长沙,8千-1万,本科,民营,100-299人,烹饪/料理/食品研发,3-5年,"节日福利,员工旅游,带薪年假,五险,定期团建,房补,定期体检,绩效奖金"
液压工程师,湖南星邦智能装备股份有限公司,长沙,6千-1.2万,本科,民营,500-999人,化工,3-5年,"六险一金,带薪年假,节日福利,加班补助,14薪,提供食宿,员工旅游,免费班车"
机械设备工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,节日福利,免费班车,餐补"
自动化工程师,湖南省汇川电子科技有限公司,长沙,8千-1.2万,本科,民营,20人以下,机械设计/制造/维修,3-5年,"周末双休,交通补助,通讯补助,五险一金,绩效奖金,餐补,包住,年底双薪"
机械研发工程师,长沙轩勋机电有限公司,长沙,8千-1万,本科,民营,20人以下,机械设计/制造/维修,3-5年,"包住,餐补,带薪年假,节日福利,五险"
品质工程师,比亚迪,长沙,8千-1万,本科,民营,10000人以上,生产管理/运营,3-5年,"五险一金,绩效奖金,带薪年假,包住"
项目经理（园林绿化）,中铝环保生态技术(湖南)有限公司,长沙,8千-1.6万,本科,国企,20-99人,生产管理/运营,3-5年,"五险一金,绩效奖金,餐补,定期体检,高温补贴,节日福利,交通补助,项目奖金"
QA软件质量管理工程师,东华软件,长沙,面议,本科,上市公司,1000-9999人,质量管理/安全防护,3-5年,"五险一金,带薪年假,定期体检,补充医疗保险"
BOM工程师,中联重科,长沙,8千-1.5万,本科,合资,10000人以上,生产管理/运营,3-5年,"五险一金,绩效奖金,餐补,通讯补助,带薪年假,定期体检,包住,交通补助"
机械工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"包住,餐补,年终分红,绩效奖金,五险一金,带薪年假"
机械设备工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,节日福利,免费班车,餐补"
管理体系审核员,誉邦检测认证有限公司,长沙,1万-1.5万,本科,民营,20-99人,质量管理/安全防护,3-5年,"五险一金,无试用期,不加班"
机械工程师 （无人车和机器人研发制造）,长沙猎空智能科技有限公司,长沙,8千-1万,本科,民营,20人以下,机械设计/制造/维修,3-5年,"包吃,包住,五险一金,加班补助,免费停车,节日福利,高温补贴"
副总经理,湖南德顺汽车贸易有限公司,长沙,1万-1.5万,本科,民营,500-999人,汽车销售与服务,3-5年,"五险一金,定期体检,带薪年假,绩效奖金,年终分红,交通补助"
品质工程师,湖南惠诚控制系统有限公司,长沙,3.5千-6千,本科,民营,20-99人,质量管理/安全防护,3-5年,"五险一金,绩效奖金,加班补助,餐补,通讯补助,带薪年假,定期体检,节日福利"
机械结构工程师,四川蓝海智能装备制造有限公司,长沙,6千-8千,本科,民营,100-299人,机械设计/制造/维修,3-5年,"弹性工作,节日福利,带薪年假,加班补助,定期体检,定期团建,绩效奖金,年底双薪"
燃料电池及系统工程师,湖南三重理想储能科技有限公司,长沙,6千-1.2万,本科,民营,20人以下,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,创业公司"
工艺工程师（复材））,湖南航天环宇通信科技股份有限公司,长沙,8千-1.5万,本科,民营,500-999人,生产管理/运营,3-5年,"五险一金,绩效奖金,加班补助,包吃,包住,定期体检,节日福利"
机械工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"包住,餐补,年终分红,绩效奖金,五险一金,带薪年假"
方舱设计总工程师,湖南博翔新材料有限公司,长沙,1.5万-3万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"包住,包吃,五险一金,绩效奖金,节日福利,项目奖金"
工艺工程师,三一集团,长沙,1.3万-2.1万,本科,民营,10000人以上,生产管理/运营,3-5年,"每年多次调薪,五险一金,绩效奖金,餐补,带薪年假,节日福利"
工艺工程师(J10762),三一集团,长沙,1万-1.5万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,包住,节日福利,带薪年假,餐补,定期体检"
轴承设计工程师,天津华建天恒传动有限责任公司,长沙,8千-1万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"节日福利,五险一金,餐补"
移动反击破项目工程师,湖南润天智科机械制造有限公司,长沙,8千-1万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"绩效奖金,包吃,包住,带薪年假,五险,节日福利,员工旅游"
液压工程师,飞翼股份,长沙,8千-1.5万,本科,股份制企业,100-299人,生产管理/运营,3-5年,"五险一金,包住,定期体检,周末双休,绩效奖金"
流体力学工程师,湖南鑫永生科技发展有限公司,长沙,6千-8千,本科,民营,100-299人,机械设计/制造/维修,3-5年,"包吃,包住,餐补,定期体检,节日福利"
综合计划管理,湖南中大创远数控装备有限公司,长沙,7千-8千,本科,民营,100-299人,生产管理/运营,3-5年,"五险一金,年底双薪,交通补助,餐补,通讯补助,定期体检"
信赖性测试课资深工程师,长沙惠科光电有限公司,长沙,9千-1.1万,本科,民营,500-999人,质量管理/安全防护,3-5年,"五险一金,包住,餐补,全勤奖,加班补助,年底双薪,节日福利,带薪年假"
工作中心副主任(J10845),三一集团,长沙,1万-2万,本科,民营,10000人以上,生产管理/运营,3-5年,"五险一金,绩效奖金,包住,节日福利,带薪年假"
成型工艺工程师,三一集团,长沙,9千-1.8万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"包吃,包住,免费班车,五险一金,周末双休,带薪年假,项目奖金,年终分红"
伺服系统工程师,湖南航天环宇通信科技股份有限公司,长沙,8千-1.2万,本科,民营,500-999人,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,加班补助,包吃,包住,通讯补助,员工旅游,节日福利"
机电工程师,长沙矿山研究院有限责任公司,长沙,8千-1万,本科,国企,500-999人,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,带薪年假,节日福利,全额公积金,项目奖金,交通补助,通讯补助"
化工技术员（望城）,长缆科技,长沙,5千-7千,本科,上市公司,1000-9999人,化工,3-5年,"五险一金,年底双薪,绩效奖金,加班补助,包住,高温补贴,节日福利,餐补"
飞机结构强度工程师CAE（工作地：江苏宜兴）,道尼尔海翼无锡有限公司,长沙,1万-1.5万,本科,合资,20-99人,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,交通补助,房补"
npi工程师,苏州百思猎企业管理咨询有限公司,长沙,1万-1.5万,本科,民营,20-99人,生产管理/运营,3-5年,"五险一金,绩效奖金,餐补,带薪年假,加班补助"
信赖性测试课资深工程师,长沙惠科光电有限公司,长沙,9千-1.1万,本科,民营,500-999人,质量管理/安全防护,3-5年,"五险一金,包住,餐补,全勤奖,加班补助,年底双薪,节日福利,带薪年假"
机械工程师,湖南圣湘生物科技有限公司,长沙,1万-1.5万,本科,民营,500-999人,机械设计/制造/维修,3-5年,"周末双休,五险一金,包住,餐补,包吃,定期体检,带薪年假,补充医疗保险"
首席技术官（CTO）/总工程师/产品设计研究院院长/研究所所长,长沙润达智能装备有限公司,长沙,2万-3.5万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"五险一金,年底双薪,包住,餐补,带薪年假,节日福利,绩效奖金"
化学合成,湖南润星制药有限公司,长沙,7千-1.4万,本科,民营,100-299人,化工,3-5年,"五险一金,包吃,定期体检,房补,员工旅游,节日福利"
机械工程师,湖南航天环宇通信科技股份有限公司,长沙,6千-1.2万,本科,民营,500-999人,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,股票期权,包吃,定期体检,免费班车,员工旅游,节日福利"
首席技术官（CTO）/总工程师/产品设计研究院院长/研究所所长,长沙润达智能装备有限公司,长沙,2万-3.5万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"五险一金,年底双薪,包住,餐补,带薪年假,节日福利,绩效奖金"
结构工程师(复合材料）,湖南航天环宇通信科技股份有限公司,长沙,8千-1.5万,本科,民营,500-999人,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,加班补助,全勤奖,包吃,免费班车,员工旅游,节日福利"
生产计划专员,三一集团,长沙,7千-1万,本科,民营,10000人以上,生产管理/运营,3-5年,"五险一金,年底双薪,绩效奖金,年终分红,股票期权,带薪年假,项目奖金,节日福利"
工艺工程师,湖南智水环境工程有限公司,长沙,1.5万-2万,本科,民营,100-299人,生产管理/运营,3-5年,"每年多次调薪,包住,包吃,员工旅游,节日福利,年终分红,五险一金,带薪年假"
整车项目经理,湖南湖大三佳车辆技术装备有限公司,长沙,6千-8千,本科,民营,100-299人,生产管理/运营,3-5年,"绩效奖金,包住,餐补,节日福利,工作居住证,公司重点项目,年底双薪,购买社保"
IE工程师,比亚迪,长沙,8千-1万,本科,民营,10000人以上,生产管理/运营,3-5年,"五险一金,绩效奖金,通讯补助,带薪年假,定期体检,公司重点项目,节日福利,福利单身宿舍"
装配工艺工程师,三一集团,长沙,9千-1.8万,本科,民营,10000人以上,汽车制造,3-5年,"包吃,包住,免费班车,五险一金,周末双休,带薪年假,项目奖金,年终分红"
机械设计工程师,湖南华冶微波科技有限公司,长沙,8千-1万,本科,民营,20-99人,机械设计/制造/维修,3-5年,
QC主管,湖南华腾制药有限公司,长沙,5千-7千,本科,民营,100-299人,质量管理/安全防护,3-5年,"五险一金,年底双薪,绩效奖金,年终分红,加班补助,包住,餐补,定期体检"
机械工程师,湖南文昌新材科技股份有限公司,长沙,4千-8千,本科,股份制企业,100-299人,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,加班补助,包吃,包住,通讯补助,带薪年假,定期体检"
实验室有机检测,湖南德立安全环保科技有限公司,长沙,6千-8千,本科,民营,100-299人,化工,3-5年,"五险一金,全勤奖,不加班,节日福利,周末双休"
机械研发工程师,长沙轩勋机电有限公司,长沙,8千-1万,本科,民营,20人以下,机械设计/制造/维修,3-5年,"包住,餐补,带薪年假,节日福利,五险"
汽车电子电器工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,汽车制造,3-5年,"五险一金,绩效奖金,餐补,节日福利,带薪年假,股票期权,年终分红,弹性工作"
材料工程师,珠海凯利得新材料有限公司,长沙,8千-1万,本科,民营,20-99人,机械设计/制造/维修,3-5年,"五险一金,带薪年假,包吃,包住,不加班,绩效奖金,员工旅游"
机械工艺技术员,长沙众聚达精密机械有限公司,长沙,5千-8千,本科,民营,20-99人,机械设计/制造/维修,3-5年,"五险一金,年底双薪,加班补助,包吃,包住"
机械设计工程师（小型机械、精密仪器）,湖南桥康智能科技有限公司,长沙,8千-1.5万,本科,民营,20-99人,机械设计/制造/维修,3-5年,"加班补助,带薪年假,弹性工作,节日福利,免费停车,五险一金"
结构工程师,中国长城,长沙,8千-1万,本科,国企,10000人以上,机械设计/制造/维修,3-5年,"五险一金,年底双薪,通讯补助,补充医疗保险,定期体检,绩效奖金,餐补"
体系管理,长缆科技,长沙,4千-6千,本科,上市公司,1000-9999人,质量管理/安全防护,3-5年,"五险一金,年底双薪,绩效奖金,加班补助,包住,免费班车,高温补贴,节日福利"
资料工程师,中联重科,长沙,7千-1万,本科,合资,10000人以上,机械设计/制造/维修,3-5年,"五险一金,餐补,带薪年假,定期体检,绩效奖金,年底双薪,免费班车,周末双休"
4s店总经理,湖南霞客乐信息科技有限公司,长沙,1万-2万,本科,民营,100-299人,汽车销售与服务,3-5年,"五险一金,股票期权,创业公司,节日福利,餐补,年终分红,带薪年假,免费停车"
汽车电子电器工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,汽车制造,3-5年,"五险一金,绩效奖金,餐补,节日福利,带薪年假,股票期权,年终分红,弹性工作"
机械设计师,湖南绿捷环境科技有限公司,长沙,6千-8千,本科,民营,20-99人,机械设计/制造/维修,3-5年,"包吃,包住,节日福利,购买五险,单休,生日聚餐"
生产部长,湖南展辉集团有限公司,长沙,7千-9千,本科,民营,1000-9999人,生产管理/运营,3-5年,"包吃,节日福利,包住,定期体检,五险,带薪年假,定期团建"
机械工艺工程师,长沙开元仪器有限公司,长沙,6千-1万,本科,民营,500-999人,机械设计/制造/维修,3-5年,"五险一金,年底双薪,包住,包吃,带薪年假,定期体检,节日福利"
PE工程师--喇叭,湖南盈准科技有限公司,长沙,1万-1.5万,本科,民营,20-99人,生产管理/运营,3-5年,
工艺工程师（流水线设计、智能制造方向）,远大科技集团,长沙,6千-1万,本科,民营,1000-9999人,汽车制造,3-5年,"五险一金,绩效奖金,加班补助,包吃,包住,通讯补助,免费班车,节日福利"
制冷工艺工程师,北京清源华建环境科技有限公司,长沙,8千-1万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"五险一金,带薪年假,节日福利,试用期全额,定期体检,商业保险  ,绩效奖金,周末双休"
高级焊接工艺工程师,比亚迪,长沙,1万-1.5万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,带薪年假,定期体检,节日福利,包住"
结构工程师,长沙万为机器人有限公司,长沙,8千-1.2万,本科,民营,20-99人,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,加班补助,全勤奖,弹性工作,创业公司"
工作中心主任(J10861),三一集团,长沙,1.5万-2万,本科,民营,10000人以上,生产管理/运营,3-5年,"五险一金,绩效奖金,包住,节日福利,带薪年假"
供应商质量管理经理(J10786),三一集团,长沙,1.5万-2万,本科,民营,10000人以上,质量管理/安全防护,3-5年,"五险一金,年底双薪,包住,包吃,绩效奖金,年终分红,加班补助"
车间主任,湖南明瑞制药有限公司,长沙,6千-8千,本科,民营,100-299人,生产管理/运营,3-5年,"五险一金,绩效奖金,年底双薪,包吃,包住,带薪年假,定期体检,节日福利"
专利工程师、项目专员,湖南云顶智能科技有限公司,长沙,5千-1万,本科,民营,20-99人,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,房补,餐补,周末双休,节日福利"
伺服电机工程师,万鑫精工(湖南)股份有限公司,长沙,1.5万-2万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"绩效奖金,包吃,包住,节日福利,五险一金,年终分红,股票期权,项目奖金"
机器人工程师,福田汽车,长沙,1万-1.5万,本科,股份制企业,10000人以上,生产管理/运营,3-5年,"五险一金,节日福利,高温补贴,定期体检,项目奖金,带薪年假,绩效奖金,年底双薪"
IE工程师,长沙惠科光电有限公司,长沙,7千-1.1万,本科,民营,500-999人,生产管理/运营,3-5年,"五险一金,全勤奖,年底双薪,绩效奖金,包住,餐补,加班补助,带薪年假"
技术总监,张家界国辉建材有限公司,长沙,8千-1.5万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"包吃,周末双休,包住,餐补,带薪年假,弹性工作,五险一金"
机电安装工程师,润田环境工程有限公司,长沙,6千-8千,本科,民营,20-99人,机械设计/制造/维修,3-5年,"创业公司,五险一金,绩效奖金,餐补,通讯补助,带薪年假,定期体检,员工旅游"
遗传检验分析师遗传检验分析师,湖南谷医堂大药房连锁有限公司,长沙,8千-1.5万,本科,民营,1000-9999人,质量管理/安全防护,3-5年,"加班补助,全勤奖,绩效奖金,交通补助,餐补,房补,节日福利,五险一金"
工艺工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"五险一金,年底双薪,绩效奖金,周末双休,餐补,带薪年假,定期体检"
机械工程师(J11951),三一集团,长沙,1.5万-2万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"五险一金,包住,餐补,绩效奖金,节日福利,员工旅游,年底双薪"
规划设计工程师（药机物流、烟草工业、快消品连锁超市）,中烟物流技术有限责任公司,长沙,1万-1.5万,本科,国企,100-299人,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,带薪年假,包吃,包住,通讯补助,交通补助,定期体检"
结构设计工程师,麦格米特,长沙,7千-9千,本科,上市公司,1000-9999人,机械设计/制造/维修,3-5年,"五险一金,节日福利,员工旅游,定期体检,带薪年假"
机械设计技术员,耐普泵业,长沙,4千-6千,本科,合资,100-299人,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,包吃,包住,带薪年假,免费班车,节日福利"
品质经理（职位编号：J003）,长沙市香他她餐饮管理有限公司,长沙,1万-1.5万,本科,民营,300-499人,质量管理/安全防护,3-5年,"带薪年假,节日福利,不加班,年底双薪,五险一金,绩效奖金,定期团建"
机电安装工程师,润田环境工程有限公司,长沙,6千-8千,本科,民营,20-99人,机械设计/制造/维修,3-5年,"创业公司,五险一金,绩效奖金,餐补,通讯补助,带薪年假,定期体检,员工旅游"
质量改进工程师,盐津铺子,长沙,6千-8千,本科,民营,1000-9999人,质量管理/安全防护,3-5年,"五险一金,年底双薪,绩效奖金,全勤奖,带薪年假,餐补,节日福利,加班补助"
工艺工程师（流水线设计、智能制造方向）,远大科技集团,长沙,6千-1万,本科,民营,1000-9999人,汽车制造,3-5年,"五险一金,绩效奖金,加班补助,包吃,包住,通讯补助,免费班车,节日福利"
机械工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"包住,餐补,年终分红,绩效奖金,五险一金,带薪年假"
工艺工程师(J10762),三一集团,长沙,1万-1.5万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,包住,节日福利,带薪年假,餐补,定期体检"
生产部长,湖南展辉集团有限公司,长沙,7千-9千,本科,民营,1000-9999人,生产管理/运营,3-5年,"包吃,节日福利,包住,定期体检,五险,带薪年假,定期团建"
工艺工程师,黎耀智能科技有限公司,长沙,1万-1.5万,本科,民营,100-299人,生产管理/运营,3-5年,五险一金
品质工程师,比亚迪,长沙,8千-1万,本科,民营,10000人以上,生产管理/运营,3-5年,"五险一金,绩效奖金,带薪年假,包住"
客户质量工程师（CQE),广东邦普循环科技有限公司,长沙,8千-1.3万,本科,民营,1000-9999人,质量管理/安全防护,3-5年,"五险一金,包吃,包住,节日福利,平台大"
API相关岗位,湖南润星制药有限公司,长沙,7千-1.4万,本科,民营,100-299人,化工,3-5年,"五险一金,包吃,定期体检,试用期全额,房补,员工旅游,节日福利"
应用工艺工程师,湖南大科激光有限公司,长沙,6千-8千,本科,民营,100-299人,生产管理/运营,3-5年,"五险一金,绩效奖金,带薪年假,餐补,房补,定期体检,员工旅游,年底双薪"
底盘工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"五险一金,年底双薪,绩效奖金,餐补,节日福利,周末双休,带薪年假"
研发机械结构工程师,湖南大麓科技有限公司,长沙,6千-8千,本科,民营,100-299人,机械设计/制造/维修,3-5年,"节日福利,周末双休,包吃,绩效奖金"
液压工程师,湖南苍树航天科技有限公司,长沙,8千-1.2万,本科,民营,20-99人,生产管理/运营,3-5年,"五险一金,周末双休,带薪年假,通讯补助,餐补,交通补助,定期体检"
IE工程师 （IE点改善）,中景恒基投资集团股份有限公司,长沙,1万-2万,本科,股份制企业,500-999人,生产管理/运营,3-5年,"五险一金,绩效奖金,餐补,带薪年假,员工旅游,节日福利,周末双休,大牛带队"
技术员,湖南省和清环境科技有限公司,长沙,5.5千-8千,本科,民营,20-99人,化工,3-5年,"五险一金,周末双休,高温补贴,通讯补助,员工旅游,带薪年假,年终奖,包吃"
机械工艺技术员,长沙众聚达精密机械有限公司,长沙,5千-8千,本科,民营,20-99人,机械设计/制造/维修,3-5年,"五险一金,年底双薪,加班补助,包吃,包住"
质量经理,黎耀智能科技有限公司,长沙,1万-1.5万,本科,民营,100-299人,质量管理/安全防护,3-5年,五险一金
原料工艺员,湖南威特制药股份有限公司,长沙,6千-8千,本科,民营,100-299人,生产管理/运营,3-5年,"五险一金,绩效奖金,包吃,房补,定期体检,员工旅游,节日福利"
机械设备工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,节日福利,免费班车,餐补"
培训主管,花生好车,长沙,8千-1万,本科,民营,1000-9999人,汽车销售与服务,3-5年,"五险一金,绩效奖金"
技术主管（长沙）,北京金茂绿建科技有限公司,长沙,6千-1万,本科,国企,500-999人,能源/矿产/地质勘查,3-5年,"五险一金,年底双薪,绩效奖金,交通补助,餐补,通讯补助,带薪年假,高温补贴"
包装工程师,克明面业,长沙,8千-1万,本科,上市公司,1000-9999人,生产管理/运营,3-5年,"五险一金,绩效奖金,包吃,节日福利"
涂装工艺工程师,中联重科,长沙,4千-7千,本科,合资,10000人以上,生产管理/运营,3-5年,"五险一金,绩效奖金,包住,带薪年假,定期体检,免费班车,高温补贴"
热能工程师,湖南思为能源环保工程有限公司,长沙,8千-1万,本科,民营,20-99人,能源/矿产/地质勘查,3-5年,"五险一金,包住,交通补助,餐补,通讯补助,定期体检,节日福利"
质量经理,黎耀智能科技有限公司,长沙,1万-1.5万,本科,民营,100-299人,质量管理/安全防护,3-5年,五险一金
水泵设计工程师,长沙昌佳智慧流体科技有限公司,长沙,8千-1.2万,本科,民营,20-99人,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,交通补助,餐补,通讯补助,公司重点项目,创业公司,项目奖金"
标准化工程师,湖南航天环宇通信科技股份有限公司,长沙,6千-8千,本科,民营,500-999人,质量管理/安全防护,3-5年,"加班补助,包吃,五险一金,节日福利,定期体检,绩效奖金,通讯补助"
npi工程师,苏州百思猎企业管理咨询有限公司,长沙,1万-1.5万,本科,民营,20-99人,生产管理/运营,3-5年,"五险一金,绩效奖金,餐补,带薪年假,加班补助"
装配工艺工程师,三一集团,长沙,9千-1.8万,本科,民营,10000人以上,汽车制造,3-5年,"包吃,包住,免费班车,五险一金,周末双休,带薪年假,项目奖金,年终分红"
研发工程师（婴配）,湖南展辉集团有限公司,长沙,6千-8千,本科,民营,1000-9999人,烹饪/料理/食品研发,3-5年,"包吃,节日福利,包住,定期体检,五险,带薪年假,定期团建"
无刷水泵产品开发工程师,长沙市健科电子有限公司,长沙,1万-1.5万,本科,民营,100-299人,汽车制造,3-5年,"五险一金,带薪年假,节日福利,包住,餐补,年终奖"
伺服系统工程师,湖南航天环宇通信科技股份有限公司,长沙,8千-1.2万,本科,民营,500-999人,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,加班补助,包吃,包住,通讯补助,员工旅游,节日福利"
检测技术总工程师,湖南华城检测技术有限公司,长沙,1万-2万,本科,民营,100-299人,质量管理/安全防护,3-5年,"带团队,包吃,五险一金,绩效奖金,带薪年假,定期体检,节日福利,年终奖金"
杀虫剂SD,湖南新长山农业发展股份有限公司,长沙,6千-8千,本科,民营,300-499人,质量管理/安全防护,3-5年,"带薪年假,弹性工作,不加班,每年多次调薪,周末双休,项目奖金,包吃,包住"
营运经理,长沙万达广场商业物业管理有限公司,长沙,1万-1.5万,本科,民营,20-99人,生产管理/运营,3-5年,"五险一金,包吃,节日福利"
齿轮工艺工程师（工作地点-长沙）,天津华建天恒传动有限责任公司,长沙,6千-1万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"节日福利,五险一金,包住,绩效奖金,餐补"
目标计划质量经理,长沙嘉汇商业管理有限公司,长沙,1万-1.5万,本科,民营,20-99人,生产管理/运营,3-5年,"绩效奖金,定期体检,员工旅游,节日福利,每年多次调薪,全勤奖,餐补,五险一金"
标准工程师,远大科技集团,长沙,6千-8千,本科,民营,1000-9999人,质量管理/安全防护,3-5年,"节日福利,五险一金,绩效奖金,加班补助,包吃,包住,带薪年假,免费班车"
结构设计工程师,长沙天恒测控技术有限公司,长沙,1.5万-2万,本科,股份制企业,100-299人,机械设计/制造/维修,3-5年,"五险一金,年底双薪,包住,餐补,房补,员工旅游,节日福利"
热动工程师,广东兆丰能源技术有限公司,长沙,8千-1万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"餐补,周末双休,定期体检,朝九晚五,公司重点项目,带团队,通讯补助,五险"
质量经理,黎耀智能科技有限公司,长沙,1万-1.5万,本科,民营,100-299人,质量管理/安全防护,3-5年,五险一金
驱动器结构工程师,万鑫精工(湖南)股份有限公司,长沙,1.2万-1.5万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"全勤奖,绩效奖金,节日福利,带薪年假,定期体检,五险一金"
电机研发工程师（永磁）,万鑫精工(湖南)股份有限公司,长沙,8千-1.5万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"绩效奖金,包吃,包住,节日福利,五险一金,股票期权,项目奖金,全勤奖"
信赖性测试课资深工程师,长沙惠科光电有限公司,长沙,9千-1.1万,本科,民营,500-999人,质量管理/安全防护,3-5年,"五险一金,包住,餐补,全勤奖,加班补助,年底双薪,节日福利,带薪年假"
液压工程师,湖南星邦智能装备股份有限公司,长沙,6千-1.2万,本科,民营,500-999人,化工,3-5年,"六险一金,带薪年假,节日福利,加班补助,14薪,提供食宿,员工旅游,免费班车"
液压工程师（高薪双休）,恒天九五重工有限公司,长沙,6千-1.2万,本科,国企,1000-9999人,化工,3-5年,"周末双休,年底双薪,五险一金,绩效奖金,包吃,包住,高温补贴,节日福利"
机械工程师/机器人设计工程师,湖南沄辉科技股份有限公司,长沙,8千-1万,本科,上市公司,20-99人,机械设计/制造/维修,3-5年,"五险一金,年底双薪,餐补,包吃,包住,带薪年假,定期体检"
管理培训生,中联重科,长沙,6千-1万,本科,合资,10000人以上,生产管理/运营,3-5年,"五险一金,包住,带薪年假,包吃,绩效奖金,股票期权,定期体检,免费班车"
QA技术员,湖南圣湘生物科技有限公司,长沙,4千-6千,本科,民营,500-999人,质量管理/安全防护,3-5年,"五险一金,带薪年假,年底双薪,大牛带队,绩效奖金,项目奖金,全勤奖,周末双休"
驱动器结构工程师,万鑫精工(湖南)股份有限公司,长沙,1.2万-1.5万,本科,民营,100-299人,机械设计/制造/维修,3-5年,"全勤奖,绩效奖金,节日福利,带薪年假,定期体检,五险一金"
机械工程师(J10604),三一集团,长沙,1.5万-2万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,餐补"
工艺工程师（产品）,湖南航天环宇通信科技股份有限公司,长沙,8千-1.5万,本科,民营,500-999人,生产管理/运营,3-5年,"五险一金,年底双薪,绩效奖金,加班补助,包吃,通讯补助,定期体检,节日福利"
4s店总经理,湖南霞客乐信息科技有限公司,长沙,1万-2万,本科,民营,100-299人,汽车销售与服务,3-5年,"五险一金,股票期权,创业公司,节日福利,餐补,年终分红,带薪年假,免费停车"
车间主任,湖南明瑞制药有限公司,长沙,6千-8千,本科,民营,100-299人,生产管理/运营,3-5年,"五险一金,绩效奖金,年底双薪,包吃,包住,带薪年假,定期体检,节日福利"
机械工程师（宁乡、长沙）,三一集团,长沙,1.1万-2万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,带薪年假,免费班车,节日福利,现金股票,餐补,定期体检"
质量管理,湖南齐物论科技发展有限公司,长沙,4千-6千,本科,民营,20-99人,质量管理/安全防护,3-5年,"年底双薪,绩效奖金,全勤奖,餐补,五险,意外险,环境好"
